translation,category,macrocategory,subcategory,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
cow tongue,Meat,Meat,Beef,25,65,1,,60,,,168,328,,,,,,,,,,,,,,4,,,18,476,275,,,,46,,11,4,,,,,,,,,,,,,,,,,
cow trunk,Meat,Meat,Beef,23.1923076923077,75,0.75,,164,,,125,289,542.125,,7,,,,,,,,,,,19,,,10,494,10.25,21.5,,,0.75,,18.25,,0.75,,,,,,,,,,,,,,,,
crabs,Seafood,Meat,,386.2,3315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,240,,,,,,,,,,,300,,,,,,
crucian carp,Fish,Meat,,48.5,260,1,,1267,,,,1000,,,,,,,,,,,,,,,,,,4560,360,,,,,,260,,,,,,,,,,,,,,,,,,
curlew,Meat,Meat,"Bird, wild",4.625,17,0,,12,,,,,,,,,,,,,,,,,,0,,,,11,13,,,,1,,,,,,,,,,,,,,,,,,,,
currants,Fruit,Fruits and Vegetables,preserved,40.5,91,10,,434,,,245.75,580,663.25,,30,,,,,,,,242.5,,,42,,,,1937,416,,,,6,,12,24,60,36.5,10,,,,,20,,,,,,,,,
dates,Fruit,Fruits and Vegetables,,9,43,1,,,,,,,0,,,,,,,,,,27,,,,,,,28,,,,,0,,,,,,,,,,,,,,,,,,,,
Deer,Meat,Meat,"venison, wild",20.2222222222222,72,0,,31.5,,,17.25,37.75,,,,,,,,,,,,,,0,,,,44,12,,,,,,,,,,,,,,,4,,,,,,,,,
deer tongue,Meat,Meat,other,1,1,1,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doves,Meat,Meat,"Bird, wild",25.0833333333333,80,1,,121,,,263,,385,,,,,,,,,,,,,2,,,,,243,10,,,50,,80,12,,,,,,,,,,,13,,,,,,
dried beef,Meat,Meat,Beef,41.6428571428571,94,0,,506,,,482,611,643,,,,,,,,,,,,,0,,,,142,152,,,,9,,10,64,80,68,,,,,,8,,4,,,,,,,
dried carp,Fish,Meat,,22,88,1,,732,,,135,0,300,,,,,,,,,,,,,,,,,79,,,,,0,,,,,,,,,,,,,,,,,,,,
dried common roach,Fish,Meat,,51.1111111111111,300,0,,,,,180,1260,412,,,,,,,,,,,,,0,,,,1920,1080,,,,,,,,,300,,,,,,,,,,,,,,,
dried eel,Fish,Meat,,1.42857142857143,2,1,,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
dried geese,Meat,Meat,"Bird, fowl",23.4444444444444,79,0,,297,,,108,128,60,,,,,,,,,,,,,0,,,,117,44,,,,15,,10,,,,,,,,,,,,,,,,,,
dried lamb,Meat,Meat,other,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dried lamprey,Fish,Meat,,7.25,49,0,,0,,,0,2500,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried maraena whitfish,Fish,Meat,,1.25,2,0,,90,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried mutton,Meat,Meat,other,1.14285714285714,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
dried pike-perch,Fish,Meat,,26.75,85,0,,492,,,158,288,,,,,,,,,,,,,,0,,,,7150,,,,,50,,,,,,,,,,,,,,,,,,,,
dried plums,Fruit,Fruits and Vegetables,,9,41,0,,,,,,,,,,,,,,,,,100,24,,0,,,,0,150,,,,6,,2,4,,,,,,,,,,,,,,,,,
Dried roe,Fish,Meat,,7.85714285714286,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,
dried salmon,Fish,Meat,,44.125,103,0,,61,,,37,8,0,,,,,,,,,,,,,0,,,,48,64,,,,62.25,,,,,,,,,,,,,,,,,,,,
