,,,,0.875,,11,,,,,,,,,,,,,0,,,,31,111,,,,2,,,,,,,,,,,12,,,,,,,,,
,,,,,60.5,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,166,,,,,,,,,
,23.2,,,20.14,35.203,41.6,,,,,,,,,,83.25,11.5,,0.6,,,,74.34,31.8125,,,,0.5,,0.8,0.7,1.1,0.8,2,,,,,1.5,,,,,,,,,
,990,,,132,462,447,,,,,,,,,,,,,0,,,,13140,638,,,,30,,127,18,,,,,,,,250,,,,,,,,,
,13,,,10.484,17.328,18.2,,0.25,,,,,,,,52.125,11,,0.5,,,,60.7,20.5625,,,,0.375,,0.344,0.375,0.5625,0.375,2,,,,,1.7,,,,,,,,,
,3812,,,2696,4382,4826,,,,,,,,,,,,,24,,,,4786,577,,,,24,,60,14,,,,,,,,48,,,,,,,,,
,1356,,,744,1668,2256,,,,,,,,,,,,,12,,,,2652,624,,,,,,,,,,,,,,,192,,144,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,
,245,,,540,120,192,,,,,,,,,,,,,0,,,,288,,576,,,,,,,,,,,,,,,,,,,,,,,
,60,,,168,328,,,,,,,,,,,,,,4,,,18,476,275,,,,46,,11,4,,,,,,,,,,,,,,,,,
,164,,,125,289,542.125,,7,,,,,,,,,,,19,,,10,494,10.25,21.5,,,0.75,,18.25,,0.75,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3315,240,,,,,,,,,,,300,,,,,,
,1267,,,,1000,,,,,,,,,,,,,,,,,,4560,360,,,,,,260,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,0,,,,11,13,,,,1,,,,,,,,,,,,,,,,,,,,
,434,,,245.75,580,663.25,,30,,,,,,,,242.5,,,42,,,,1937,416,,,,6,,12,24,60,36.5,10,,,,,20,,,,,,,,,
,,,,,,0,,,,,,,,,,27,,,,,,,28,,,,,0,,,,,,,,,,,,,,,,,,,,
,31.5,,,17.25,37.75,,,,,,,,,,,,,,0,,,,44,12,,,,,,,,,,,,,,,4,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,,263,,385,,,,,,,,,,,,,2,,,,,243,10,,,50,,80,12,,,,,,,,,,,13,,,,,,
,506,,,482,611,643,,,,,,,,,,,,,0,,,,142,152,,,,9,,10,64,80,68,,,,,,8,,4,,,,,,,
,732,,,135,0,300,,,,,,,,,,,,,,,,,79,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,180,1260,412,,,,,,,,,,,,,0,,,,1920,1080,,,,,,,,,300,,,,,,,,,,,,,,,
,0,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
,297,,,108,128,60,,,,,,,,,,,,,0,,,,117,44,,,,15,,10,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,0,2500,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,90,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,492,,,158,288,,,,,,,,,,,,,,0,,,,7150,,,,,50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,100,24,,0,,,,0,150,,,,6,,2,4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,
,61,,,37,8,0,,,,,,,,,,,,,0,,,,48,64,,,,62.25,,,,,,,,,,,,,,,,,,,,
,8,,,148.25,,35.25,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,1080,,,,,,,,,,,,,23,,,,,,,,,401,,,,720,900,,,450,,,,,,,,,,,,
,742,,,304,982,490,,,,,,,,,,,,,0,,,,4617,759,,,,41,,78,4,,,,,,,,10,,56,,,,,,12,
,104832,,,74731,117328,115500,,2085,,,,,,,,,,,1874,,,2407,130298,30807,,,,1500,,5158,2257,4293,400,,330,,,,1452,,7803,600,,,,,180,
,144,,,,268,288,,,,,,,,,,,,,0,,,,96,,,,,168,,,,,,,,,,,,,144,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,729,,,3,197,3180,,,,,,,,,,,,,0,,,,1423,762,,,,2,,,,,,,,,,,20,,40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,46,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3744,,,2112,3648,3835,,,,,,,,,,,,,48,,,,5644,782,,,,24,,84,48,72,72,,,,,,432,,,,,,,,24,
,,,,,6,,,,,,,,,,,8,,,,,,,4,20,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1165,,,580,882,2876,,,,,,,,,,,,,23,,,42,1730,654,83,,,12,,41,6,,7,,,,,,128,,159,,,,,,4,
,204.72,,,115.75,221.75,335.2,,4.25,,,,,,,,79.75,33.5,,5.75,,,,337.625,112.25,,,,1,,4.375,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
,13,,,2,52,99,,,,,,,,,,,,,0,,,,125,43,,,,14,,2,,,,,,,,,1,,,,,,,,,
,52,,,58,123,516,,,,,,,,,,,,,0,,,,3639,62,,,,,,10,,,,,,,,,132,,,,,,,,,
,523,,,1196,694,2076,,,,,,,,,,,,,0,,,,13973,107,,,,64,,,,,,225,,,,,,,,,,,,,,
,20,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,162,,,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,293.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,145,82,,,,3,,9,,,,,,,,,,,,,,,,,,
,595,,,177,485,1057,,,,,,,,,,,,,0,,,,1696,487,4,,,,,9,2,,,,,,,,21,,,,,,,,,
,5596,,,3253,6603,5619,,,,,,,,,,,,,89,,,122,14760,4210,231,,,62,,342,66,,28,,,,,,343,,1326,58,,,,,58,
,,,,24,24,6,,48,,,,,,,,36,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,,,,,
,24,,,240,48,312,,,,,,,,,,,,,48,,,,96,226,,,,132,,,,,,,,,,,,,,,,,,,,
