translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
carp,Fish,Meat,,-0.933318475971066,0,0.829616423085392,2.07404105771348,,,,0.553077615390261,-1.24442463462809,-0.725914370199718,0.414808211542696,,-0.241971456733239,,-0.725914370199718,,,,,,,,,,,,,,,,,,35.8,97,0,,10825,,,1809,3077,9142,,,,,,,,,,,,,52,,,0,12925,3598,,,,36,,,15,,,,,,,,,,,,,,,,,
carp (type unknown),Fish,Meat,,,,,,,,,,,,,,,1.33411989907548,-0.701576890368212,,,,,,,,0.197469010332471,,,-0.830012019039738,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon loach,Fish,Meat,,,-0.762556395082015,,-0.390145132367543,,,,-0.886693482653506,,2.03052807527653,-0.328076588581797,,0.478814480632893,,,,,,,,,,-0.141870957224561,,,,,,,,,,250.727272727273,1311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311,360,,,,,,,,780,,,300,,,,,,
cherry sauce,Fruit,Fruits and Vegetables,,,,0.707106781186548,,,-0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8888888888889,48,0,,,,,0.875,,11,,,,,,,,,,,,,0,,,,31,111,,,,2,,,,,,,,,,,12,,,,,,,,,
cherry sauce or marmalade,Fruit,Fruits and Vegetables,,-0.388636187290597,-0.388636187290597,-0.388636187290597,-0.388636187290597,,,,,,,,,,-0.340344116680523,-0.372538830420573,,,,,,,,2.26742769626349,,,,,,,,,,15.2857142857143,93,1,,,,,,60.5,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chestnuts,Nuts,Flavoring/Other,,0.779741897884596,0.531642203103133,1.52404098222898,1.13417003328668,,0,-0.443035169252611,-0.829361836840888,,2.16201162595274,0.708856270804178,,-0.708856270804178,-0.822273274132846,-0.825817555486867,-0.811640430070784,-0.822273274132846,-0.779741897884596,,,,,-0.7974633046547,,,,,,,,,,18.2,166,1,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,166,,,,,,,,,
cinnamon,Spice,Flavoring/Other,,0.581358605654137,-0.741733393420795,0.0989813143247346,-0.162880643825512,,,,-0.976030934923648,,-0.727951185097098,0.0162880643825513,,-0.603911310183823,0.774309522185898,-0.727951185097098,,,,,,,,2.46952114600065,,,,,,,,,,23,86,0.6,,23.2,,,20.14,35.203,41.6,,,,,,,,,,83.25,11.5,,0.6,,,,74.34,31.8125,,,,0.5,,0.8,0.7,1.1,0.8,2,,,,,1.5,,,,,,,,,
citrons,Fruit,Fruits and Vegetables,Citrus,0.304753498213568,-0.311437967396882,0.920944963824019,0.356102787014439,-0.65804566680276,0.253404209412698,-0.106040812193398,-0.645208344602542,,3.23166295986321,0.920944963824019,,-0.516835122600365,-0.653218833655478,-0.651627005702651,-0.641999014052488,-0.651627005702651,-0.568184411401236,,,,,-0.583589198041497,,,,,,,,,,61.1818181818182,250,0,,990,,,132,462,447,,,,,,,,,,,,,0,,,,13140,638,,,,30,,127,18,,,,,,,,250,,,,,,,,,
cloves,Spice,Flavoring/Other,,0.796208051458502,0.150860472907927,1.16497809634455,0.704015540236991,,,,-1.27812345102549,,0.51963051779397,0.796208051458502,,-1.32421970663625,0.381341750961704,-1.73908600713304,,,,,,,,-0.171813316367361,,,,,,,,,,13.13165625,77,0.25,,13,,,10.484,17.328,18.2,,0.25,,,,,,,,52.125,11,,0.5,,,,60.7,20.5625,,,,0.375,,0.344,0.375,0.5625,0.375,2,,,,,1.7,,,,,,,,,
coarse salt,Salt,Flavoring/Other,,-0.805341456544341,0.39732554161369,-0.661021416765377,-0.661021416765377,,,,-0.933625936347865,,-0.484630257035533,0.0124721022031202,,,,,,,,,,,,1.95277485923141,,1.18306798041027,,,,,,,,46.0909090909091,78,1,,3812,,,2696,4382,4826,,,,,,,,,,,,,24,,,,4786,577,,,,24,,60,14,,,,,,,,48,,,,,,,,,
cod,Fish,Meat,,,,,,,,,,,,,,,,-0.707106781186547,0.707106781186547,,,,,,,,,,,,,,,,,61.9,192,1,,1356,,,744,1668,2256,,,,,,,,,,,,,12,,,,2652,624,,,,,,,,,,,,,,,192,,144,,,,,,,
cooking wine,Acid,Flavoring/Other,,,,,,,,,-1.0977301077777,,0.238636979951674,0.859093127826026,,,,,,,,,,,,,,,,,,,,,,4.55555555555556,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,
