translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
salmon,Fish,Meat,,1.09355336756231,1.2724984640725,-0.785370145794749,-0.725721780291351,,,,-1.26255706982194,,-0.75554596304305,-0.0695897597539652,,-0.129238125257364,,,,,,,,,,1.3619710123276,,,,,,,,,,31.3181818181818,100,1,,308,,,56.5,165.5,96.5,,,,,,,,,,,,,2.5,,,,242,20,,,,4,,1,,,,,,,,,22,,,4,,,,,,
salmon trout,Fish,Meat,,-0.222661608480697,-0.935178755618928,1.02424339901121,0.0148441072320465,,,,-1.8852016184699,,0.964866970083021,,,0.489855538657534,0.54923196758572,,,,,,,,,,,,,,,,,,,7.125,30,1,,39,,,,,0,,,,,,,,,,,,,,,,,18,,,,,0,,19,,,,,,,,,,,,,,,,,,
salted cod,Fish,Meat,,,,,,,-0.0700140042014005,,-1.33026607982661,,,1.05021006302101,,0.350070021007002,,,,,,,,,,,,,,,,,,,,34.3333333333333,88,0,,497,,,565,1169,1793,,,,,,,,,,,,,0,,,,1305,289,,,,49,,,,,,,,,,,88,,,,,,,,,
sandpipers,Meat,Meat,"Bird, wild",-0.661690487467513,-0.519669114547657,-0.3776477416278,0.900544614650908,,,,-0.235626368707944,-0.80371186038737,-0.661690487467513,2.60480108968919,,-0.0936049957880872,0.367964466201446,,,,,,,,,-0.519669114547657,,,,,,,,,,25.8888888888889,50,0,,167,,,125,256,25,,,,,,,,,,,,,0,,,,311,,,,,6,,41,,,,,,,,,,,,,,,,,,
sardines,Fish,Meat,,0.00252021323166104,-0.133571301278037,-0.284784095177702,-0.330147933347601,,,,-0.715740557791746,,-0.640134160841914,,,-0.708179918096763,2.50509195227111,,,,,,,,,0.30494580103099,,,,,,,,,,15.125,52,0,,,,,,,,,,,,,,,,,96,,,0,,,,,3648,,,,48,,,,,,,,,,,,,,,,,,,,
sheep,Meat,Meat,Other,-0.597624669388872,0.293028870151963,1.48056692287308,1.21067191089101,,,,-0.813540678974529,,-0.786551177776322,,,-0.786551177776322,,,,,,,,,,,,,,,,,,,,8.02272727272727,27,1,,"1,268.5",,,"1,164.75","1,172.25",1381,,,,,,,,,,,,,6,,,2,"1,093.5",190.5,,,,1,,10.25,,,,,,,,,4,,,,,,,,,
small birds,Meat,Meat,"Bird, wild",-0.00579584596645136,-0.2144463007587,-0.2144463007587,-0.191262916892895,,,,2.3357259244799,,-0.875172740934155,,,-0.805622589336739,,,,,,,,,,-0.0289792298322568,,,,,,,,,,76.4,426,0,,649,,,50,296,391,,,,,,,,,,,,,0,,,,118,,,,,0,,426,,,,,,,,,135,,,,,,,,,
Small sheep cheese,Dairy,Dairy,,-0.505518391516499,0.591730830379778,0.783749444211626,-1.16386792465427,,,,-1.19129915520167,,1.41466774680199,,,0.0705374499790463,,,,,,,,,,,,,,,,,,,,26.25,86,0,,1071,,,204,515,553,,,,,,,,,,,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,
"small, edible fish",Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1111111111111,288,1,,5280,,,4032,3576,504,,,,,,,,,,,,,288,,,,1188,,,,,156,,,,,,,,,,,84,,,,,,,,,
smoked fish,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75,96,0,,15480,,,390,4080,0,,,,,,,,,,,,,0,,,,9180,,,,,750,,,,,,,,,,,,,,,,,,,,
snails,Seafood,Meat,,-0.159022018122719,,1.74924219934991,-0.715599081552236,,,,-0.742102751239356,,0.583080733116637,,,-0.715599081552236,,,,,,,,,,,,,,,,,,,,53.375,420,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,
snow bunting,Meat,Meat,"Bird, wild",0.425989716834747,0.16576975406239,-0.267930183891537,-0.510802149145737,0.200465749098704,,,-0.215886191337066,2.28222545127756,,,,-1.03124207469045,-1.04859007220861,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparrows & skylarks,Meat,Meat,"Bird, wild",-1.4173745210538,0.873331775598807,0.0715845717703941,,,,,,,,,,0.472458173684601,,,,,,,,,,,,,,,,,,,,7.14285714285714,44,1,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,
spiced gudgeon,Fish,Meat,,-0.499656002711257,,,-0.454232729737507,,,,,,1.49896800813377,,,-0.545079275685008,,,,,,,,,,,,,,,,,,,,19.125,95,0,,143,,,,66,0,,,,,,,,,,,,,0,,,,34,,,,,0,,,,,,,,,,,,,,,,,,,,
spicy sauerkraut,Vegetable,Fruits and Vegetables,,2.33290365823039,1.13067109816074,0.357807309544538,-0.0715614619089077,,,,-0.801488373379765,-0.715614619089076,0.958923589579362,-0.629740864798387,,-0.758551496234421,-0.629740864798387,-0.672677741943732,,,,,,,,-0.500930233362353,,,,,,,,,,42.3636363636364,192,0,,528,,,41555,240,240,,72,,,,,,,,,,,48,,,192,,,,,,0,,0,,,,,,,,,,,,,,,,,,
starling,Meat,Meat,"Bird, wild",-0.349596480029384,-0.696339854561045,-0.200992176658671,-0.432154426346446,-0.390875453187915,-0.605526113612277,3.66787958262466,-0.101922641078197,,-0.118434230341609,-0.498200783400096,,-0.514712372663508,-0.0977947437623436,-0.209247971290378,0.467727188509533,0.0219142783973967,-0.407387042451327,,,,,0.465663239851606,,,,,,,,,,18.1428571428571,48,1,,107,,,24,19,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
sturgeon,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14285714285714,47,1,,1,,,,,1,,,,,,,,,,,,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,,,,
suckling pig,Meat,Meat,Pork,-0.707106781186548,,0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1666666666667,46,0,,432,,,227,160,170,,,,,,,,,,,,,0,,,2,279,105,,,,0,,4,3,,,,,,,,7,,,,,,,,,
sugar,Sugar,Flavoring/Other,,-0.161626384635664,-1.17354809713721,1.91843491328419,-0.105408511718911,,,,-1.11733022422046,,-0.161626384635664,0.00702723411459409,,,0.794077454949132,,,,,,,,,,,,,,,,,,,92.4296875,533.625,6,,2333,,,"1,524.4",3414,"3,296.25",,42,,,,,,,,"4,190.5",533.625,,77,,,,"6,365.5","2,311.5",,,,30,,77.5,64,146,92,40,,,,,145.75,,,,,,,,,
swans,Meat,Meat,"bird, wild",,1.30558241966773,,-0.78334945180064,,,,,,0.261116483933547,,,-0.78334945180064,,,,,,,,,,,,,,,,,,,,0.875,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tench,Fish,Meat,,-0.031717241668843,-0.554118869155668,-0.240677892663573,0.177243409325887,,,,-1.02428033389381,-0.945920089770786,1.24816674567388,0.0466430024541808,-0.841439764273421,0.0205229210798395,-0.475758625032644,-0.893679927022104,,,,,,,,0.986965931930465,,2.5280507330166,,,,,,,,8.14285714285714,51,1,,1,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thrush,Meat,Meat,"Bird, wild",1.66768879487832,-0.521735041973104,-0.312109355466053,0.0838502746028204,,,,-0.917694672041978,,,,,,,,,,,,,,,,,,,,,,,,,25.8888888888889,67,1,,1680,,,116,345,2351,,,,,,,,,,,,,12,,,,18,2068,,,,,,46,,,,,,,,,,,,,,,,,,
turbot,Fish,Meat,,1.37859726558644,0.662134965630363,1.04143853619535,0.915004012673685,,,,-0.918296578390394,-0.602210269586243,-0.876151737216508,-0.602210269586243,,-0.349341222542922,-0.560065428412356,-0.718108582814432,-0.665427531347073,-0.675963741640545,,,,,,0.456678864907665,,2.36900103317278,,,,,,-0.855079316629564,,2,4,1,,,,,1,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,
turkey,Meat,Meat,"bird, fowl",0.707106781186548,,,-0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,136,0,,196,,,133,168,358,,,,,,,,,,,,,0,,,3,79,293,7,,,6,,21,5,,,,,,,,77,,136,,,,,,,
various small fish ,Fish,Meat,,-0.812308478002918,0.602680483679584,1.47525701005046,0.555514184956834,,,,-1.09530627033942,,0.508347886234084,0.885678276016085,,-1.09530627033942,,,,,,,,,,-1.02455682225529,,,,,,,,,,11.625,44,0,,96,,,132,156,340,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veal,Meat,Meat,Beef,-0.255334844772936,,0.0593383794190624,-0.809159719350852,,,,,-0.884681293156931,-0.620355784835653,,,,,,,,,,,,,0.562815538126259,,1.94737772457105,,,,,,,,40.015625,159,1,,977.85,,,523.13,685.85,779.75,,,,,,,,,,,,,3,,,18,"1,646.5",148.75,,,,4,,20,12.5,15,14.5,,,,,,68.25,,159,,,,,,6,
vimba bream,Fish,Meat,,,,,-0.707106781186548,,,,,,,,,0.707106781186548,,,,,,,,,,,,,,,,,,,,1.14285714285714,2,1,,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water mannagrass,Grain,Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7777777777778,111,1,,120.5,,,45.5,97,51,,,,,,,,,,,,,1,,,,53,9,,,,0,,,,,,,,,,,4,,,,,,,,,
waxwing,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,240,1,,343,,,,580,186,,,,,,,,,,,,,,,,15,2076,,,,,,,,,,,,,,,,130,,240,,,,,,,
Wels catfish,Fish,Meat,,0.958546762937921,0.59755340285859,0.567470622851979,1.65045070308997,,,,-1.16228922752815,,0.417056722818924,0.0861461427462041,,0.356891162805702,-1.17733061753145,,,,,,,,,-1.14724783752484,,-1.14724783752484,,,,,,,,2.14285714285714,8,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
westphalian ham,Meat,Meat,pork,0.200113264868657,-0.85048137569179,1.4841733811092,-0.111174036038142,,,,-1.35632323966534,,1.017242429749,-0.383550424331591,,,,,,,,,,,,,,,,,,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat flour,Grain,Grain,,,,,,,,,,,,,,,,-0.707106781186547,0.707106781186547,,,,,,,,,,,,,,,,,21.875,168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,
wild boar,Meat,Meat,"pork, wild",-0.115218825145661,,0.248630096366953,0.466939449274521,,,,-1.64338429549864,,1.37656175305605,-0.333528178053229,,,,,,,,,,,,,,,,,,,,,,33.3181818181818,95,0,,41,,,31.37,30.75,86.25,,,,,,,,,,,,,0.5,,,,37,3,,,,94,,0,,,,,,,,,1,,1,,,,,,,
wild geese,Meat,Meat,"bird, wild",-0.370580418320641,0.358999780248121,0.0810644665076401,1.99186974847344,,,,-1.03067678845428,,0.04632255229008,0.880128493511522,,,-1.03067678845428,,,,,,,,,-0.926451045801602,,,,,,,,,,26.375,74,0,,20,,,12,41,25,,,,,,,,,,,,,0,,,,47,19,,,,,,,,,,,,,,,,,,,,,,,,
wine vinegar,Acid,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,,,,,,
yellow hammer,Meat,Meat,"Bird, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,84,0,,2092,,,,2685,4453,,,,,,,,,,,,,0,,,,7109,2491,,,,,,,,,,,,,,,,,,,,,,,,
young boar,Meat,Meat,"pork, wild",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,88,0,,13,,,20.25,18.37,74.25,,,,,,,,,,,,,0,,,,19,4,,,,,,0,,,,,,,,,3,,,,,,,,,
