"","foodname","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688","mean","max","min"
"76","ginger",NA,42,NA,NA,11,43,42,NA,4.25,NA,NA,NA,NA,NA,NA,NA,23,33.5,NA,5.75,NA,NA,NA,50,11,NA,NA,NA,8,NA,4.375,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3359375,50,3.5
"77","Gouda Cheese",NA,20,NA,NA,39,87,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,14,61,NA,NA,NA,15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,101,0
"78","gray partridge",NA,83,NA,NA,87,22,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,53,71,NA,NA,NA,1,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,132,0
"79","gudgeon",NA,85,NA,NA,13,98,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,21,6,NA,NA,NA,46,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6666666666667,225,0
"80","haddock",NA,41,NA,NA,1,1,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2857142857143,94,1
"81","half dried white bream",NA,27,NA,NA,80,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7142857142857,81,1
"82","half-smoked salmon",NA,60,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,2,1
"83","ham",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,24,84,NA,NA,NA,27,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4444444444444,84,0
"84","hazel grouse",NA,91,NA,NA,35,82,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,27,67,4,NA,NA,1,NA,9,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.25,82,0
"85","hen",NA,88,NA,NA,62,96,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,89,NA,NA,122,25,60,231,NA,NA,42,NA,342,66,NA,28,NA,NA,NA,NA,NA,343,NA,1326,58,NA,NA,NA,NA,58,NA,178,1326,1
"86","honey",NA,1,NA,NA,48,45,78,NA,48,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,4,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1818181818182,78,1
"87","jellied eel",NA,50,NA,NA,49,80,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,48,NA,NA,NA,98,34,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,98,1
"88","lamb",NA,77,NA,NA,23,83,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,NA,NA,1,5,85,3.5,NA,NA,31,NA,25,6.5,3,12,NA,NA,NA,NA,NA,6,NA,1,3,NA,NA,NA,NA,NA,NA,20.2941176470588,85,1
"89","lamprey",NA,18,NA,NA,1,77,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2857142857143,81,1
"90","lard",NA,1,NA,NA,99,57,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,9,NA,NA,NA,1,NA,4,NA,NA,9,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,19.7272727272727,99,1
"91","lark",NA,55,NA,NA,16,63,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,24,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6666666666667,190,0
"92","lemons",NA,57,NA,NA,34,75,65,NA,24,NA,NA,NA,NA,NA,NA,NA,22,700,NA,87,NA,NA,NA,1,24,NA,NA,NA,33,NA,60,NA,175,140,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.428571428571,700,1
"93","mace",NA,53,NA,NA,45,76,56,NA,0.25,NA,NA,NA,NA,NA,NA,NA,21,9,NA,0.9,NA,NA,NA,83,54,NA,NA,NA,32,NA,1.3125,1,1.625,1.125,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.09140625,83,0.25
"94","millet gruel",NA,33,NA,NA,90,38,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,94,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,94,0
"95","Moose",NA,25,NA,NA,1,11,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,67,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0555555555556,74,1
"96","Moose and pickeled game (probably also moose)",NA,58,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,43,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57142857142857,43,1
"97","mustard",NA,89,NA,NA,7,1,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1428571428571,66,1
"98","mutton",NA,103,NA,NA,38,108,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16.25,NA,NA,19.5,36,76,32,NA,NA,31,NA,15.5,5,NA,NA,NA,NA,NA,NA,NA,283,NA,314,NA,NA,NA,NA,NA,NA,NA,76.6607142857143,314,1
"99","nutmeg",NA,22,NA,NA,22,42,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,NA,0.5,NA,NA,NA,80,50,NA,NA,NA,6,NA,0.5,0.69,1.1,0.75,2,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7193333333333,80,0.5
"100","oat groats",NA,76,NA,NA,76,110,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,52,NA,NA,NA,38,47,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,336,NA,NA,NA,NA,NA,NA,NA,77.1,336,1
"101","olives",NA,16,NA,NA,48,62,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,NA,1.5,NA,NA,NA,1,48,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.25,62,1
"102","oxen",NA,3,NA,NA,4,5,70,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,25,NA,NA,12.5,56,9,26,NA,NA,23,NA,9,1,1,1,1,1,1,1,1,14,NA,NA,1,1,1,1,1,2,1,9.69642857142857,70,1
"103","oysters",NA,67,NA,NA,52,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,0,NA,NA,NA,97,55,NA,NA,NA,48,NA,1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.888888888889,1727,0
"104","pearl barley",NA,97,NA,NA,72,101,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,31,66,NA,NA,NA,20,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,40.2,101,0
"105","pearl barley groats",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,59,2,NA,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,59,1
"106","peas",NA,5,NA,NA,25,41,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,972,NA,NA,NA,78,79,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,432,NA,NA,NA,NA,NA,NA,NA,187.2,972,1
"107","pepper",NA,44,NA,NA,20,47,45,NA,4.25,NA,NA,NA,NA,NA,NA,NA,27,35.5,NA,5.75,NA,NA,NA,52,13,NA,NA,NA,10,NA,4.5,3.5,6,4.5,6,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.09375,52,3.5
"108","perch",NA,92,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"109","pickled carp",NA,49,NA,NA,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,2,55,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,55,0
"110","Pickled deer",NA,31,NA,NA,89,103,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.625,103,0
"111","pickled eel",NA,36,NA,NA,30,20,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,24,NA,NA,NA,20,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,96,1
"112","pickled gudgeon",NA,50,NA,NA,64,19,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.125,64,0
"113","pickled herring",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9333333333333,64,1
"114","pickled herring",NA,110,NA,NA,29,64,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,29,22,NA,NA,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9333333333333,64,1
"115","pickled lamprey",NA,38,NA,NA,55,60,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,98,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1428571428571,98,1
"116","pickled pike",NA,35,NA,NA,15,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,9,88,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.125,88,0
"117","pickled pike-perch",NA,17,NA,NA,1,54,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,54,0
"118","pickled pork",NA,1,NA,NA,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,8,0
"119","pickled salmon",NA,38,NA,NA,10,1,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,34,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,67,0
"120","pickled sturgeon",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,60,NA,NA,NA,1,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,60,1
"121","pickled wild cow",NA,1,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42857142857143,4,1
"122","pig",NA,90,NA,NA,53,88,80,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,87,35,2,NA,NA,5,NA,1,3,1,1,1,1,1,1,1,15,NA,26,1,1,1,1,NA,2,NA,15.8461538461538,88,1
"123","pig's head",NA,37,NA,NA,24,26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,95,29,NA,NA,NA,1,NA,9,NA,4,NA,NA,2,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,16.1538461538462,95,0
"124","pike",NA,94,NA,NA,70,14,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,64,NA,NA,59,15,46,NA,NA,NA,26,NA,24,16,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.75,172,1
"125","pike-perch",NA,105,NA,NA,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.375,20,0
"126","pinenuts",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,1,25,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.125,25,0
"127","pistachios",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,NA,NA,NA,79,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,79,0
"128","Plums",NA,95,NA,NA,63,16,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,10,NA,NA,NA,73,69,NA,NA,NA,44,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,73,10
"129","Pomagranates",NA,69,NA,NA,94,15,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,90,1,NA,NA,NA,28,NA,75,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,94,0
"130","poppy seeds",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,48,92,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,92,1
"131","preserved barberries",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1
"132","preserved sturgeon",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,55,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.71428571428571,55,1
"133","quail",NA,62,NA,NA,93,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,40,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.75,93,0
"134","Quark",NA,65,NA,NA,61,39,25,NA,168,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,144,NA,NA,NA,1,23,NA,NA,NA,2,NA,264,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4545454545455,264,1
"135","rabbit",NA,109,NA,NA,98,48,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,81,8,NA,NA,NA,11,NA,19,9,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0909090909091,98,0
"136","raisins",NA,73,NA,NA,44,84,85,NA,24,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,49,NA,NA,NA,92,53,NA,NA,NA,41,NA,26,42,90,61,10,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1333333333333,92,10
"137","rice",NA,84,NA,NA,82,106,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,110,NA,6,NA,NA,NA,2,78,NA,NA,NA,50,NA,2,10,NA,NA,15,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2307692307692,110,2
"138","rice flour",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,59,63,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7142857142857,63,1
"139","roe deer",NA,98,NA,NA,92,105,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,68,43,NA,NA,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA,31.1818181818182,105,0
"140","saffron",NA,100,NA,NA,58,104,16,NA,0.625,NA,NA,NA,NA,NA,NA,NA,26,1.5,NA,0.4,NA,NA,NA,89,68,NA,NA,NA,3,NA,0.0625,0.03125,0.4375,0.1875,0.5,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.004296875,104,0.03125
"141","salmon",NA,63,NA,NA,84,29,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2.5,NA,NA,NA,39,31,NA,NA,NA,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,4,NA,NA,NA,NA,NA,NA,31.3181818181818,100,1
"142","salmon trout",NA,71,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,30,1,NA,NA,NA,2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.125,30,1
"143","salted cod",NA,80,NA,NA,86,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,18,41,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3333333333333,88,0
"144","sandpipers",NA,29,NA,NA,17,50,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,49,1,NA,NA,NA,41,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8888888888889,50,0
"145","sardines",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,0,NA,NA,NA,1,52,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.125,52,0
"146","sheep",NA,4,NA,NA,5,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,2,4,27,NA,NA,NA,8,NA,10.25,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02272727272727,27,1
"147","small birds",NA,96,NA,NA,78,58,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,11,1,NA,NA,NA,2,NA,426,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.4,426,0
"148","Small sheep cheese",NA,9,NA,NA,42,86,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.25,86,0
"149","small, edible fish",NA,87,NA,NA,69,69,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,288,NA,NA,NA,12,1,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1111111111111,288,1
"150","smoked fish",NA,26,NA,NA,66,73,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,96,1,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.75,96,0
"151","snails",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.375,420,1
"152","snow bunting",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"153","sparrows & skylarks",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,44,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14285714285714,44,1
"154","spiced gudgeon",NA,23,NA,NA,1,95,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,51,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.125,95,0
"155","spicy sauerkraut",NA,86,NA,NA,71,46,32,NA,72,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,48,NA,NA,192,1,1,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3636363636364,192,0
"156","starling",NA,8,NA,NA,48,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1428571428571,48,1
"157","sturgeon",NA,3,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,47,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14285714285714,47,1
"158","suckling pig",NA,74,NA,NA,46,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,2,42,5,NA,NA,NA,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1666666666667,46,0
"159","sugar",NA,48,NA,NA,6,66,38,NA,42,NA,NA,NA,NA,NA,NA,NA,17,533.625,NA,77,NA,NA,NA,76,30,NA,NA,NA,28,NA,77.5,64,146,92,40,NA,NA,NA,NA,145.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4296875,533.625,6
"160","swans",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,1,0
"161","tench",NA,3,NA,NA,1,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14285714285714,51,1
"162","thrush",NA,30,NA,NA,12,67,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,NA,30,33,NA,NA,NA,1,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8888888888889,67,1
"163","turbot",NA,1,NA,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1
